	time	tnf
0	0	0.0
1	10	15.959563453806751
2	20	12.129413783667768
3	30	9.21339680420142
4	40	6.998415767295248
5	50	5.315935511384067
6	60	15.959563454763396
7	70	12.122745052078132
8	80	9.208331293912803
9	90	6.994568049908638
10	100	5.313012818852876
11	110	15.959563454683625
12	120	12.136086185070273
13	130	9.218465102047844
14	140	7.002265602086429
15	150	5.3188598122772826
16	160	15.959563454763924
17	170	12.122745052078532
18	180	9.208331293913107
19	190	6.994568049908869
20	200	5.31301281885305
21	210	15.95956345476287
22	220	12.122745052077732
23	230	9.2083312939125
24	240	6.994568049908407
25	250	5.3130128188527
26	260	15.95956345476287
27	270	12.129413784365287
28	280	9.213396804731246
29	290	6.9984157676977
30	300	5.315935511689764
31	310	15.959563454763396
32	320	12.12941378436567
33	330	9.213396804731538
34	340	6.998415767697921
35	350	5.315935511689933
36	360	15.959563454684172
37	370	12.136086185070656
38	380	9.218465102048137
39	390	7.00226560208665
40	400	5.31885981227745
